%cylinders, displacement, horsepower, <weight, >acceltn, model, origin, >mpg	3
8,340:360,150:160,3609,8,70:70,1,10
6,198:225,83:86,2587,16,70:70,1,20
8,383:455,165:230,4425,10,70:70,1,10
8,302:305,120:140,3449,10.5,70:70,1,20
6,198:225,92:97,2833,15.5,70:70,1,20
8,383:455,165:230,3850,8.5,70:70,1,20
4,104:114,92:97,2372,15,70:70,3,20
4,104:114,92:97,2375,17.5,70:70,2,30
8,340:360,165:230,3693,11.5,70:70,1,20
8,383:455,142:150,3761,9.5,70:70,1,20
4,96:97,87:89,2130,14.5,70:70,3,30
6,198:225,92:97,2774,15.5,70:70,1,20
8,302:305,150:160,3433,12,70:70,1,20
8,383:455,165:230,3563,10,70:70,1,20
8,302:305,165:230,4732,18.5,70:70,1,10
8,307:318,120:140,3504,12,70:70,1,20
8,383:455,165:230,4354,9,70:70,1,10
4,115:122,107:116,2234,12.5,70:70,2,30
8,383:455,165:230,3086,10,70:70,1,10
4,96:97,46:65,1835,20.5,70:70,2,30
4,104:114,90:91,2430,14.5,70:70,2,20
4,104:114,87:89,2672,17.5,70:70,2,30
8,340:360,165:230,4615,14,70:70,1,10
8,307:318,165:230,4382,13.5,70:70,1,10
8,383:455,165:230,4341,10,70:70,1,20
8,383:455,165:230,4312,8.5,70:70,1,10
8,307:318,165:230,4376,15,70:70,1,10
6,198:225,90:91,2648,15,70:70,1,20
8,307:318,150:160,3436,11,70:70,1,20
6,250:267,107:116,2962,13.5,71:71,1,20
4,104:114,92:97,2228,14,71:71,3,30
4,68:85,69:72,1613,18,71:71,3,40
6,225:232,98:105,3288,15.5,71:71,1,20
6,225:232,98:105,3439,15.5,71:71,1,20
4,68:85,69:72,2074,19.5,71:71,2,30
8,307:318,142:150,4096,13,71:71,1,10
6,250:267,98:105,3282,15,71:71,1,20
6,250:267,98:105,3329,15.5,71:71,1,20
6,225:232,98:105,2634,13,71:71,1,20
4,130:146,69:72,2408,19,71:71,1,20
8,340:360,150:160,4154,13.5,71:71,1,10
4,97.5:101,?,2046,19,71:71,1,30
4,115:122,90:91,2123,14,71:71,2,30
8,383:455,165:230,5140,12,71:71,1,10
6,250:267,87:89,3139,14.5,71:71,1,20
6,250:267,87:89,3302,15.5,71:71,1,20
4,96:97,87:89,2130,14.5,71:71,3,30
4,96:97,46:65,1834,19,71:71,2,30
8,383:455,165:230,4955,11.5,71:71,1,10
4,115:122,83:86,2220,14,71:71,1,20
4,85:91,74:82,2065,14.5,71:71,2,30
8,383:455,165:230,4464,11.5,71:71,1,10
8,383:455,165:230,4746,12,71:71,1,10
4,85:91,69:72,1955,20.5,71:71,1,30
4,130:146,90:91,2264,15.5,71:71,1,30
4,68:85,46:65,1773,19,71:71,3,30
8,340:360,165:230,4209,12,71:71,1,10
4,96:97,92:97,2288,17,72:72,3,30
3,68:85,92:97,2330,13.5,72:72,3,20
4,97.5:101,74:82,2126,17,72:72,1,30
4,115:122,83:86,2395,16,72:72,1,20
4,115:122,83:86,2226,16.5,72:72,1,20
4,130:146,90:91,2408,19.5,72:72,1,20
4,115:122,87:89,2979,19.5,72:72,2,20
4,104:114,92:97,2278,15.5,72:72,3,20
4,115:122,92:97,2506,14.5,72:72,3,20
4,115:122,74:82,2511,18,72:72,2,20
4,96:97,87:89,2100,16.5,72:72,3,30
4,97.5:101,74:82,2164,15,72:72,1,30
4,96:97,69:72,2189,18,72:72,2,30
8,340:360,150:160,4502,13.5,72:72,1,10
8,302:305,120:140,4294,16,72:72,1,10
8,383:455,165:230,4422,12.5,72:72,1,10
8,307:318,150:160,4135,13.5,72:72,1,20
8,302:305,150:160,3672,11.5,72:72,1,20
8,302:305,150:160,3892,12.5,72:72,1,20
8,307:318,150:160,4077,14,72:72,1,10
4,96:97,46:65,2254,23.5,72:72,2,20
8,383:455,165:230,4385,12,72:72,1,10
8,383:455,165:230,4633,11,72:72,1,10
8,340:360,150:160,4129,13,72:72,1,10
4,115:122,107:116,2933,14.5,72:72,2,20
8,307:318,120:140,4098,14,72:72,1,10
8,340:360,150:160,4456,13.5,72:72,1,10
8,340:360,165:230,4274,12,72:73,1,10
8,340:360,165:230,4654,13,72:73,1,10
8,383:455,165:230,4906,12.5,72:73,1,10
6,250:267,87:89,3021,16.5,72:73,1,20
8,340:360,165:230,4100,13,72:73,1,10
8,383:455,165:230,4735,11,72:73,1,10
8,383:455,165:230,4951,11,72:73,1,10
4,115:122,83:86,2310,18.5,72:73,1,20
8,340:360,165:230,3821,11,72:73,1,10
8,383:455,165:230,4952,11.5,72:73,1,10
8,340:360,165:230,3664,11,72:73,1,10
4,96:97,87:89,2279,19,72:73,3,20
8,340:360,150:160,4363,13,72:73,1,10
8,340:360,165:230,4499,12.5,72:73,1,10
4,115:122,107:116,2660,14,72:73,2,20
4,104:114,90:91,2582,14,72:73,2,20
4,97.5:101,90:91,2265,15.5,72:73,2,30
6,250:267,98:105,3278,18,72:73,1,20
6,225:232,98:105,2789,15,72:73,1,20
8,302:305,120:140,4042,14.5,72:73,1,10
8,340:360,142:150,4082,13,73:73,1,20
6,225:232,98:105,2945,16,73:73,1,20
6,225:232,98:105,3121,16.5,73:73,1,20
6,151:183,120:140,2807,13.5,73:73,3,20
6,151:183,107:116,2472,14,73:73,1,20
3,68:85,90:91,2124,13.5,73:73,3,20
8,340:360,142:150,3988,13,73:73,1,10
8,383:455,142:150,4464,12,73:73,1,10
8,307:318,150:160,3399,11,73:73,1,20
4,115:122,107:116,2868,15.5,73:73,2,20
8,307:318,142:150,3777,12.5,73:73,1,20
4,104:114,92:97,2379,16.5,73:73,3,20
8,307:318,142:150,4237,14.5,73:73,1,10
8,302:305,150:160,3672,11.5,73:73,1,10
8,383:455,142:150,4997,14,73:73,1,10
4,96:97,46:65,1950,21,73:73,2,30
6,198:225,92:97,2904,16,73:73,1,20
8,383:455,165:230,4278,9.5,73:73,1,20
4,115:122,74:82,2158,15.5,73:73,2,20
4,130:146,69:72,2401,19.5,73:73,1,20
4,68:85,46:65,1867,19.5,73:73,2,30
4,85:91,74:82,2125,14.5,74:74,1,30
4,68:85,66:69,1950,19,74:74,3,30
6,198:225,?,2875,17,74:74,1,20
8,302:305,120:140,4638,16,74:74,1,10
8,307:318,142:150,4457,13.5,74:74,1,10
6,225:232,98:105,2901,16,74:74,1,20
8,302:305,120:140,4141,14,74:74,1,20
6,250:267,98:105,3781,17,74:74,1,20
4,130:146,74:82,2542,17,74:74,1,30
6,250:267,107:116,3632,18,74:74,1,20
8,302:305,150:160,4257,15.5,74:74,1,10
